,P,cost,value
0,0.01,0.01,-10.000000000000009
1,0.01,0.1,-10.000000000000009
2,0.01,0.2,-10.000000000000009
3,0.01,0.3,-10.000000000000007
4,0.01,0.4,-10.000000000000009
5,0.01,0.5,-10.000000000000009
6,0.01,0.6,-10.000000000000004
7,0.01,0.7,-10.000000000000007
8,0.01,0.8,-10.000000000000009
9,0.01,0.9,-10.000000000000007
10,0.01,0.99,-10.00000000000002
11,0.1,0.01,-10.00000000000001
12,0.1,0.1,-10.00000000000001
13,0.1,0.2,-10.000000000000014
14,0.1,0.3,-10.000000000000009
15,0.1,0.4,-10.000000000000002
16,0.1,0.5,-10.000000000000007
17,0.1,0.6,-10.00000000000001
18,0.1,0.7,-10.000000000000007
19,0.1,0.8,-10.000000000000009
20,0.1,0.9,-10.000000000000018
21,0.1,0.99,
22,0.2,0.01,-10.000000000000009
23,0.2,0.1,-10.000000000000009
24,0.2,0.2,-10.000000000000014
25,0.2,0.3,-10.000000000000009
26,0.2,0.4,-10.000000000000009
27,0.2,0.5,-10.000000000000009
28,0.2,0.6,-10.000000000000009
29,0.2,0.7,-10.000000000000018
30,0.2,0.8,-10.000000000000014
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,-10.000000000000014
34,0.3,0.1,-10.00000000000001
35,0.3,0.2,-10.000000000000014
36,0.3,0.3,-10.000000000000009
37,0.3,0.4,-10.00000000000001
38,0.3,0.5,-10.000000000000009
39,0.3,0.6,-10.000000000000027
40,0.3,0.7,-10.000000000000014
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,-10.000000000000014
45,0.4,0.1,-10.000000000000014
46,0.4,0.2,-10.000000000000018
47,0.4,0.3,-10.000000000000018
48,0.4,0.4,-10.00000000000002
49,0.4,0.5,-10.000000000000028
50,0.4,0.6,-10.000000000000014
51,0.4,0.7,-10.000000000000028
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,-10.000000000000018
56,0.5,0.1,-10.000000000000016
57,0.5,0.2,-10.000000000000018
58,0.5,0.3,-10.00000000000002
59,0.5,0.4,-10.000000000000027
60,0.5,0.5,-10.00000000000001
61,0.5,0.6,-10.000000000000037
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-10.00000000000002
67,0.6,0.1,-10.000000000000018
68,0.6,0.2,-10.00000000000002
69,0.6,0.3,-10.000000000000032
70,0.6,0.4,-10.000000000000002
71,0.6,0.5,-10.000000000000027
72,0.6,0.6,-10.000000000000025
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-10.000000000000018
78,0.7,0.1,-10.000000000000021
79,0.7,0.2,-10.000000000000032
80,0.7,0.3,-10.000000000000007
81,0.7,0.4,-10.000000000000032
82,0.7,0.5,-10.00000000000002
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-10.000000000000018
89,0.8,0.1,-10.000000000000027
90,0.8,0.2,-10.00000000000002
91,0.8,0.3,-10.000000000000032
92,0.8,0.4,-10.000000000000021
93,0.8,0.5,-10.000000000000021
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-10.000000000000021
100,0.9,0.1,-10.000000000000007
101,0.9,0.2,-10.000000000000027
102,0.9,0.3,-10.000000000000021
103,0.9,0.4,-10.000000000000021
104,0.9,0.5,-10.000000000000027
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,-10.00000000000002
111,0.99,0.1,-10.000000000000021
112,0.99,0.2,-10.000000000000025
113,0.99,0.3,-10.000000000000027
114,0.99,0.4,-10.000000000000027
115,0.99,0.5,-10.000000000000027
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
